star,comments,labels
3,"Experiencing bad, some apps doesn't working properly.",0
3,After use 2.5 month I faced a problem in software. After reinstalled it was solved.,0
3,audio quality  need improve must in headphone display is good but ......need improve very must,0
1,I have bought this phone just a month before and phone has started giving problem.,0
3,Camera is not at the best...headset missing in the pack...sound quality is at its best,1
1,Sound quality not goodPicture quality not goodOne thought display top raed side,0
1,Display farCamera 20 mp calirity noOver clrfulCostlyCalling prblm,0
3,Nice,0
3,Camera is pathetic,0
1,Dum set,0
1,Worst build quality just slipped from 3 feet height pocket and the screen damage,0
3,Battery is very bad it charges slow and discharges fast. Except this everything is perfect.,0
3,Issue in touch sensor and heating problem. Rest of the things are good.,0
2,Average mobile,0
3,Gameing experience is not good our all good cameras battery and picture quality,0
3,"Battery Excellent, Performance of phone not good, Camera Avg & Tuch not satisfied....",0
1,Mirror cam does't working while on low light and face is not getting detecting .....,0
1,This phone doesn't gives  the facility of send message so I want to return this item,0
3,Cemera quality very not goodSo very ubsetVedio record not focus properly,0
2,Picture and sound quality are good but there is no inbuilt 4G video calling feature.,0
3,Started to get hang in just 2 months.,0
1,Back panel is defective and call quality is very poor. Not sure how to replace it now.,0
2,Few application not installing very disappointed with this product.,0
3,Accha nhih,0
1,It seems like it is 2 MP camera.. It's sooooo blurrrrr!!!! Gets heat up so quickly!,0
3,Ok,0
3,Poor Camera compare to other Brands in this range. Call connectivity also having issue.,0
1,Good bettry,0
3,finger prints on the phone upon unboxing. working okay though.,0
3,Average,0
1,"Very bad,honor company very bad after 15days use it is broke and company cannot do anything",0
3,Camera is very worst.. Otherwise its ok,0
1,Mobile  gets heated when data is on. Camera is average. Mobile gets struck frequently.,0
3,Good cameraBut facing problem in whatsapp video calling.,0
3,Super,0
3,Damage item sending,0
1,No,0
1,Nice one,0
1,Every thing nice but sounds quality not good,0
1,Camera is very bad it is showing 20 MP but it is not working like 12MP both camera is very very bad.,0
2,So bad phone camera so poor camera cartoon typ pics and network problem issue don't buy this phone,0
1,"I just recommend not to buy this mobile, there is an net speed problem, it irritates alot",0
2,The quality of fingerprint sensor can get better and even back camera can get bit advance,0
3,With in six months i got screen flickering issue and i have to go to service center which is not near to me,0
1,After buying 20 days it's showing back Camera problems1 st I trusted on honor but so sad,0
3,"Camera quality is very bad and sound is very low , phone look is super",0
1,The product is faulty. there is software problem within 20 days of use,0
3,NICE BUT SOME TIME NOT GOOD,0
3,The device heats up more than necessary..... Camera is good.... Fast processor,0
3,Camera saturation & beautyIs not well done designedPictures are capturing with odd saturation,0
3,Not good as expectations.. I sold in just 1 and half month...,0
3,There is no EIS. SPEAKER R NOT GUD. PHONES LAGS WHILE SWITCHING APPLICATIONS.,0
3,This phone is good but camera not good please send camera increase performance update,0
3,Looking just wonderfulOverall goodMissing c type port,0
3,In this rate it's a good phone,0
2,Poor performance,0
1,It's not expose because face recognition comes with almost every phone...,0
1,"Screen quality is very worst, looks like a China local phone and performance is bad",0
1,In calling some time voice getting slow... Not clear voice... Problem in talking...,0
3,"Selfie camera got damaged and sound is not well enough, exchange period is too long",0
3,Camera quality is poor.. Primary camera doesn't excepted..,0
3,Camera and screen resolution is good.Rest of the things are not good,0
2,Update not received till time... Bad camera quilty very poor honor service,0
3,I like this product but its perfomance doesn't satisfied me. It an average device.,0
3,Not recommend... Not good product.. I m usibg it about 2 months.. Bt not satisfied,0
3,Getting heated. Can go with Samsung,1
1,Hate that phonePlz dont buy thisHangging problem and too bad experience,0
1,mobile is ossam amazon service is  tooooo badd  coustmer ki value hi nahi samajte,0
2,Like- battery life is so good but screen durability is bad damage screen in one drop,0
1,Waste,0
3,Picture quality is extent . Berry life is low. Sound is good,0
3,Picture quality and video quality is not good in night and in low light.,0
1,I don't like this product in this price it does not have capacity of heavy usage,0
3,Picture Quality is not much good. However satisfactory product.,0
1,Very bad phone display is dancing in middle of operationVery bad 👎,0
1,It's back is made of glass and breaks if mobile falls from height of 5 cm,0
3,4K video's not saport this mobile,0
2,Camera is below averageCharging doesn't exist even 5 hours,0
3,Good Product but battery backup isn’t that good.,0
2,Heeting issue.......Camara is poor......Slow charging........,0
3,I have purchased honer 8x on 06/11/18 but I am facing a problem in calling,0
3,Poor picture quality I'm disappointed with camera department other than camera mobile👍,0
2,camera quality of this phone is not good given as a phone's description,0
2,Heavyweight 6.5 big screen difficult to use reviewing after 3 month use,0
1, This mobile is not working,0
1,heating issues facing after p update. and mobile battery discharge faster..,1
2,"Worst ever camera. I used lenovo k6 note ,which is far better than honor 8x",1
1,Its poor quality phone.. performence is not good.. cameraclearity  is worst,0
3,Ok,0
1,Ok,0
2,Good product but on gaming it gets heatup... Emui lags....,0
1,Very bad and cheap bettery charge and camera quality is very worst,0
3,Not bad,0
1,Damge product,0
1,Not good,0
3,"Good Phone honor 8x blue,👍👍✌️✌️But back cover हॉनर 8x का नही है",0
1,dont buy 15 day use battery life full charg 4 hr. down 5 hr without use,0
1,Don't buy... Product is not worth and after service is useless,0
1,"Worst camera quality, while receiving calls it takes few times",0
2,Heating isssue. Not fast. Low quality picture. Overall rating 1.2 star,0
1,"Phone performance is not up to the mark, phone hangging on frequently.",0
3,Mobile switched off automatically. And it happen twice or thrice a day,0
3,It's take longe time to charging and hang sometime but average product,0
3,Very bad camera in that price range,0
3,camera not good sound poor best honor play best,1
1,Not getting mobile network. I have to restart mobile to get network.,0
3,I am disappointed with rear camera compare to mi note 6 pro.,1
1,Camera not satisfied.Salfe camera not good... 16 mp not use this phone,0
3,Not supported direct dialpad video call and not supported internet during volte call,0
2,Live video calling Billa image all application all good,0
1,Phone hangingCalls no connectingI am disappoint,0
1,Worst cameraWorst phoneEvery about this mobile is worst,0
3,Touch is not that much soft and does not feel good.,0
3,Good phone with bad camera but perofomance was good,0
3,PERFORMANCE IS SUPER 100% BUT CAMERA IS WORST REAR CAMERA ITS LIKE A 5 MP,0
3,"Average picture quality, good sound quality and nice battery life",0
2,Picture and sound quality is excellent but battery capacity is not good,0
3,Nothing is good in this phone everything is average in this product,0
1,Phone is having problem during pairing with Bluetooth and earphone,0
3,All features are better gorilla glass protection required,0
1,bad quality product.sureen is bad.touch Screen Sensltivity is bad,0
3,Not badbutNot goodButJust good that's all,0
3,Today it self I received my phone n screen is having a crack 😏😠,0
3,Very poor camera according to budget. Only look is awsome.,0
3,Rear camera no good quality & no 4 k recording& not gaming mobile,0
3,Not a tall,0
1,Display is very bad even the sweat also going inside of the mobile very bad bad display quality,0
2,Good but not better,0
1,Very worst Device. Battery is draining very soon. 4 also won't come if charge is 100 percentage,0
1,Mobile Hanging and Picture Quality of Front Camera was Poor and Speakers also not Good,0
1,Not use full order,0
1,"Very low quality camera, battery life is good  good game supporting phone, processor also good.",0
3,It's not up to the mark on expected levelsI am very disappointed with this product,0
3,"Only issue Camera not that much effect, very poor,need some one response to sort out the issue",0
2,Don't know whats the problem with your phone  it has two dots on the screen or dust I can't tell,0
3,Good but featuer are less as compare to price 6gb128gb variant,0
2,Battery life is not ok. Battary power is no long time,0
2,Phone is not working properly... It gets switched off again and again,0
3,If you are looking for a selfie phone...Don't buy it..Rest is good...,0
3,I gifted it to my friend. It is good.,0
1,It's not even 6 months and my front camera is not working.. pathetic,0
1,The front camera is blur in 3 months,0
3,Nice one I want to replace in honor 9i to honor 8x and it is wow,1
3,Item is really good. Working fine. Value for money.,0
3,I like performance only good quality,0
3,Camera not good..battery very low power capacity...,0
2,"Mobile camera very bade, yellow color adde to photo",0
2,Not price Worthy please another phone in this range,0
3,Its just a good phone not great nothing much to say,0
3,it hangs while playing high graphic games like pubg,0
1,This phone performance and finger print not working properly,0
3,3.5 mm headphone jack output is low compare to other phones,0
3,"Camera quality is not good,",0
2,the camera quality was not so good...heavy wight...price also high..,0
3,Received a damaged product. Rear camera lens damaged,0
2,Not worthy,0
2,I like the mobile  but i did not get handset along with phone,0
2,Cheap built quality. Display isn't good and the camera sucks.,0
3,Battery backup very low and send my phone bill send email id.,0
3,Expected better camera....Edge detection is very poor....,0
2,video calling feature not available in Honor 8X phone dialler.,0
3,Battery life ok...but camera not good... face recognize slow,0
1,My phone has suddenly switched off and is not starting again,0
3,Play store application not installed,0
3,"Processer, battery, camera is OK. Screen quality is not good",0
2,poor photos quality by the phone cemara.otherwise all are ok,0
2,Phone starts to struck after 2 months only,0
1,"Very poor quality of display,",0
3,"Only camera section is worest, rest all good.",0
3,It's been 2nd month and data cable is not working,0
1,No front flash and  phone is hanging waste mobile,0
1,This phone r not working good & THIS Product hanging problems,0
3,Good,0
3,Sound quality was not upto the mark,0
3,Good but not upto the mark when it comes for sound system,0
1,Worst product i used this phone a week but experience is worst,0
3,Not good on performance only look good,0
1,After one month line in screen,0
3,Bekaar h,0
3,My phone,0
3,Sound quality is average and no 4k and EIS on video recording,0
2,"Nice looks bt battery backup poor, no safety display",0
1,Camera quality is not better then I expected at night,0
2,Performance is very poor. Sometime Running app crash.,0
3,Screen is too delicate,0
2,Charge falls quickly,0
3,If you play any game. It's too heating.,0
1,Do not purchaseMy mobile disply automatically gon,0
3,"Battery backup is very low, take lot of time to charge.",0
1,Just worked for 2 weeks and it's screen started diming.,0
3,Call not working,0
3,Ok,0
2,Not cost efficient,0
1,Picture quality is not good. And also sound quality...,0
1,Performance is very good but camera is very poor average,0
3,Bttery good bt camera or fingerprint is normally work,0
1,That's really a pathetic phone. Total waste of money.,0
1,Waste of money doesn't working portrait cam don't buy,0
3,1 feet up sleep fone in my handTouch was broken,0
1,Its nice phone,0
2,Build quality is good...Cemera very poor,0
1,secand hand phone provided camara was vearst,0
1,Camera was not upto the expectations,0
1,Ghatiya hai worst phone  slow ram low quality camera,0
3,Phone is good,0
3,This phone is nice design but camera quality is very chip,0
3,Camera picture quality is not natural. Looks like painted,0
2,Speakers are gone within one and half month also started hanging.,0
3,Sound quality is very bad,0
3,This product is cool but actually calling time hanging problem this phone,0
3,Awesome phone . Thanks Huawei. Thanks to Amazon.,0
1,Worst phone .. display went off and not getting recovery,0
1,The photo gets switched off automatically. Very worst 💔,0
3,No direct dial pad video calling,0
3,Not bad,0
3,Honor 8x is having The Poorest and Worst Display Glass Quality.,0
3,"Touch is slow, some time they not respond.",0
1,Honor is best quality mobile love it,1
1,"Poor quality, I want to return this phone",0
2,The Mobile is waste  battery back up is very slow,0
1,Very very bad camera in low light,0
3,Earphone was not there in the box,0
3,Audio quality are very baaaaad speaker and earphones,0
3,Ok,0
3,"Battery backup, not good running in pubg",0
3,Camera is not good. Otherwise a good phone.,0
3,Nice product,0
2,Picture quality not so good,0
3,Front Camera Makes background blur which looks bad,0
3,The camera softwear can be updated,0
1,Bed camera  not a nice phone in15k,0
3,Ok.. but Amazon delivery was worst,0
3,Display quality poor. Corner side all yellow shad.,0
3,there's  a small black hole in notch surroundings.,0
3,Value for money prodctRear camera is awesome,0
1,Worst phone not genuine displayIt's broken,0
1,Defective product. Screen went blank in a month.,0
3,I like it,0
2,Red color really awesome,0
3,Emproved battery life...,0
2,Picture quality good,0
3,Hsjs,0
1,"display problem, mobile got hanged within month",0
1,Battery life excellent... Picture quality also!,0
3,Battery quality medium.. No video call options..,0
1,Worst ever phone..... Don't buy this phone (advice) 😠😠😠😠😠😠😠😠,0
3,unlike all other Honor models the camera quality is really poor.,1
2,Battery backup is great os is good camera quality beyond average,0
3,Jsjs,0
1,Package seal was broken and it's not new mobile,0
1,After 3 day gamil is stoppedIt's now not working.,0
1,I am a honor brand liker,0
1,"Product Is good,But my stock is used pcs.Not a fresh pcs.",0
2,Never buy,0
3,When video calling time few seconds later get it blank,0
2,"Sound quality low, work slowly",0
1,Update the card payment issue for this product,0
1,Very very bad  quality can u replace this product,0
3,Safe mobile,0
3,loved its display quality  and camera,0
1,waste of money for this product.plz dont buys,0
3,Video quality not godCamera quality low,0
1,"I'm very disappointed , not a gud performance",0
2,Not a good phone. App not good working in mobile,0
2,Frequently restarting,0
2,"No call record facility, less sound quality",0
3,I didn't received bill and warranty in box.,0
3,Nice,0
1,I am having issues with microphone,0
3,Left side display red  manufacturer defect,0
3,network issue no incoming outgoing happens,0
1,Camera quality is very bad,0
2,Phone  is avg good,0
1,Not worth of money,0
2,Camera quality low,0
1,Not good,0
3,Front camera is worst,0
3,The back camera is not good as expexted,0
3,Size very big so didnot handle with single hand,0
1,Everything about this phone is average,0
3,This moile is in this price is best...,1
3,Super nice phone Super picture quality,0
3,Everything is good.. Except the camera quality,0
1,"Sir  , Voice not clear in that time of calling",0
3,Phone is so good bettery performance Veri nice,0
3,Good performance and nice look,0
2,Earphones are missing. Camera is not at all good,0
3,good features,0
2,This phone is totally good but camera not good,0
2,Screen not working properly... Fluctuations.,0
3,Like battery life and dislike camera quality,0
1,Phone dead within 1 month...,0
2,Phone is hanging dont buy...,0
3,"I didn't get my ear phones ,I want my ear phones",0
3,I had received this product without headset,0
3,Speaker is not working properly,0
2,Ok pic sound so so battery is ķ,0
1,Under this phone hanging problm,0
3,Pict quality not up to the mark,0
1,Incoming calls hangs while call lifting,0
3,Its not working my speaker have problam,0
1,This phone is support direct video call,0
3,Not very good but it ok,0
2,I dont like this product,0
1,Product was hang sometime i will resend,0
3,Software update will long time,0
1,Speed is not looking as 4g ram,0
1,Don't buy such horrible device,0
3,Stabilisation bad otherwise good phone,0
3,I like this phone but battery is poor.,0
1,Worst camera colour contrast is too high,0
3,Nice but back side camera is not good,0
3,Item is good but not issued ear phone,0
2,Picture quality isn't Good..waste phone,0
2,Cheap product,0
3,Nice but can't play pubg properly,0
3,better but not as good as mi,0
1,Worst Camera and worst image quality,0
1,Worst product totally waste of money,0
1,Order received but not received bill,0
3,The phone is not god,0
1,Camera below average,0
3,All are good,0
3,good,0
3,Like,0
2,Phone is good but media volume is to pure,0
3,I like It's Build Quality,0
3,Ok,0
1,Not ablebal ear phone & bluetooth & tamprat,0
1,Not supporting USA and Mexican sim card.,0
3,Pictures and sound quality are not good.,0
2,"Bad camera, it's hanging",0
1,Battery life,0
2,Battery. Software. Touch work... Unlike,0
3,Feel better but need to upgrade,0
1,No update received and most of lags,0
3,Camera quality is very bad.....,0
1,Sometimes it's hang,0
3,Cool mobile,0
2,Camera is not good,0
1,Very Bad Product & This app Is Bad,0
3,Battery backup is not good,0
3,Not so good mobile,0
3,Camera is not good,0
1,Camera is not good condition,0
3,Very low camera quality,0
3,Fine nice,0
3,Not for me,0
3,Good,0
3,Portrait mode in camera not good.,0
3,Worst camera ever..very bad pictures,0
3,Some glitches appear at times,0
3,Good processorBad touch,0
3,Worst camera..& sound also...,0
2,Sab bekar hai,0
3,Good product.,0
2,Very low quality.,0
1,I Leck honor 8x good espiriyans,0
3,Battery is nathing enough power,0
3,Worth for money but not so much,0
1,Hanging proglam,0
1,Dispaly build quality not good.,0
2,Screen is scratched vertically,0
1,Some functions are not working,0
3,over all phone is good,0
3,"Best camera, average sound quality",1
1,Picture quality very poor,0
3,Sometimes screen freezing problem,0
1,Fingerprint sensor is not working,0
3,Phone quality is not upto the mark,0
3,Good 📱,0
1,"my produect was bed ,your compny",0
3,Camera is simply unsatisfactory.,0
2,Sounds quality very nice,0
2,Phone speed is very slow,0
1,Touch kamjor hai,0
2,Camera in low light not good,0
1,Sound has broken in 3 months,0
1,Touch problem hanging issues,0
3,Headset not found in the box,0
1,loud speaker problem,0
3,Some touching issues,0
3,Good product,0
3,Network issue for mobail fhone,0
3,good,0
3,Camera quality low and zooming,0
1,Totally worst,0
3,camera quality is very poor,0
1,Its back galss easily broken,0
1,Honor 8x feak mobile,0
1,Parpomanse is very very bad,0
2,POOR FRONT CAMER BAD QUALITY,0
1,Seal Broken,0
2,very good and very nice,0
3,Avg,0
1,Bad quality of all product,0
2,I don't like this product.,0
3,Sound Quality is not good.,0
3,Noutch and picture quality,0
1,Screen protection very bad,0
1,Ridiculous Product,0
1,Not value of money,0
1,Switch off without any reason,0
3,Ok,0
3,Ok,0
3,Nice,0
3,Speaker is not impressive,0
1,This product is very good,0
1,I want cashHonor 8x,0
3,Portrait mood is not good,0
3,Camera quality is too bad,0
1,Low battery usage,0
3,Just Ok..,0
1,Not worth,0
1,Thairdclass camera quality,0
3,Vibration sensor not good,0
3,Performance not uptomark,0
1,Hang on pupg game,0
3,Battery life is very low,0
1,Worst phone don't buy it,0
3,Picture quality not good,0
1,Very bad product,0
1,Can't video call,0
3,ShirurBdje,0
3,Nice and good mobile,0
2,Product quality not good,0
3,Its perfomence not bad,0
2,Camera quality is not good,0
3,. good battery back up!,0
2,Performance is not good,0
2,Photo is not clear,0
3,It is not giving update,0
3,Good but little bit lag,0
1,Sound is worst very low,0
3,How to get invoice bill,0
3,Best processor in range,1
2,not good phone,0
3,Poor camera quality,0
1,Mobile is not working,0
3,Camera quality not ok,0
3,I don't like this one,0
2,No android 9.0 update,0
3,Phone heating issues.,0
1,more time to charging,0
1,Mobile is hang.......,0
1,Bad rear camera quality,0
3,Sound quality is good,0
1,Camera it's not ciliary,0
1,Don't buy this product.,0
1,Totally rubbish product,0
3,Advance quality,0
3,HUSSAIN,0
2,Average,0
2,Camera not good,0
3,Not good for heavy usage,0
1,Sim slot bended damaged,0
1,Very bad battery life,0
1,Waste product,0
3,Over all best,1
1,Glass fragile,0
3,average phone,0
1,Worst,0
2,camera bad colouring,0
1,Terrebile experience,0
2,Sound quality is bad,0
1,Little Bit Hanging .,0
3,Phone is not working,0
1,Performance not good,0
1,Bakwas phone,0
3,Good looking,0
3,Good product,0
3,Good,0
3,Good,0
1,Too bad poor device,0
3,Display is not good,0
3,I like this mobile.,0
1,Pathetic Phone Ever,0
3,Very nice product..,0
3,I like this product,0
1,Cemera quality 😡😡,0
3,Camera was not good,0
1,Way too bad,0
3,Not durable,0
3,It has awefull picture quality,0
3,Hang hota he,0
2,Not much satisfied,0
3,Selfee flash light,0
2,Sound is not good.,0
2,Not up to the mark,0
1,Not a good produc5,0
1,Worst product ever,0
3,Very worst,0
3,OK product,0
2,Ok,0
3,Nice,0
3,Not bad,0
3,Camera bekar hai,0
2,Best...,1
1,Average,0
1,Product demange,0
2,Thik  h,0
1,I don't got earphone,0
1,waste of money,0
1,Bad experience,0
1,Bakwass camera,0
3,Charging issue,0
1,Nice fon,0
3,Not good,0
2,Screen black hole,0
1,Very poor quality camera,0
1,Hangs very often,0
1,Display problem,0
1,Very bad Device,0
2,Camera not good,0
3,Camera very bad,0
1,Don't buy this,0
1,Waste courier.,0
1,Nice 1,0
3,No bad,0
3,Batter,0
3,Gaming not good,0
1,Donor buy that product,0
1,Screen glass poor quality,0
1,Battery problem,0
2,Superb mobile,0
1,Dont buy this,0
1,Worst product,0
1,All not clear,0
1,Screen is big,0
1,Damaged phone,0
3,Sound,0
1,Picture quality,0
1,Waste of Cash,0
3,Only good,0
1,Super mobile,0
2,Nice product,0
3,Once hanging,0
3,Nice product,0
3,Nice product,0
1,Worst mobile,0
3,Thk the e ae,0
3,Nice product,0
1,Good,0
3,Good,0
3,Good,0
3,Good,0
3,Good,0
3,Nice,0
3,Good,0
2,Good,0
3,Good,0
3,Good,0
3,goog,0
3,Nice,0
3,Mobile hang,0
1,Bad quality,0
1,Nh he achha,0
3,Good device,0
2,Bad product,0
3,Nice mobile,0
1,MOBILE DEAD,0
1,Poor battery life,0
3,Avg,0
3,Hmm,0
3,Nice,0
2,Good in quality,0
3,Everything,0
1,Jhantu fon,0
3,ok,0
3,Camera quality is not good,0
3,Ram is less,0
3,Hanging problem,0
2,Very Good,0
3,Very slow,0
3,Thik thak,0
2,Not good,0
1,Not Good,0
3,like but,0
3,Honor of,0
1,Not good,0
3,Average,0
3,Helpful,0
1,Dislike,0
3,Like it,0
3,Not bad,0
1,Medium,0
2,Just ok,0
1,Why k,0
2,So so,0
3,Phone,0
3,super,0
3,Super,0
3,Averge,0
1,Poor 📷,0
3,Nice,0
3,Average,0
3,Just ok,0
2,Not bad,0
2,Not bad,0
1,Very bad,0
3,Average,0
1,It nic,0
3,Normal,0
3,👍👍👍,0
1,Bakwas,0
1,Bakwas,0
3,Good,0
2,Screen protection is not,0
3,Dislike heavy weight,0
1,Hanging the phone,0
2,Camera is average,0
3,Battery life nuce,0
2,Browsing very bad,0
2,Pic quality so gd,0
3,This phone is okk,0
3,Break my display,0
3,Nice,0
3,Nice,0
2,Good,0
3,Okay,0
3,Good,0
3,Good,0
1,Wast,0
3,good,0
3,Nice,0
1,Fjuf,0
3,Good,0
2,Good,0
3,Good,0
3,Nice,0
1,Good,0
3,Gud,0
3,God,0
2,Ok,0
3,Cemera avarage,0
3,Nice phone,0
3,Nice phn,0
1,Very bad,0
1,Not good,0
3,Nice one,0
1,Not good,0
1,Very bad,0
1,bad item,0
1,No scope,0
3,Ok,0
2,Ok,0
1,Bad,0
3,Is,0
3,Like,0
2,Good,0
3,Good,0
3,But screen damaged,0
2,I'm,0
2,Better,0
3,"no EIS,4k",0
1,"1st thing who like gaming avoid honor GPU turbo is just a talk but in reality in nothing. 1st 2 months OK after that now there are lags and frame drops in every game Asphalt 8, 9 and even small games like angry birds are lagging2. They release software updates too slow in small batches3. After sale service is tooooo poor.4. Pie update has lot of bugs5. AI Camera 🤔🤔it's a big joke even my old redmi note 3 5 mp camera after miui 10 update produce better edge detection for portraits compared to 16 mp camera6. They release 2 models in india one is made in China and made in India models they treat both customers in different ways regarding updates EX: made in India models only get android pie beta update",1
2,"I am re writing my update after 3 months of using it. Recently in the last week of March, Honor 8x got Android Pie update which was very unsatisfactory due to the following reasons.1. Firstly, the battery performance worsened after android pie update. Before the update, a single full charge would give you more than 1 day of standby time, 2days standby in power saving mode and 5days in ultra power saving mode. Now with Honor's pie update, this has been reduced to 19 hours with 1 day in power saving mode. So I recommend all new buyers not to update your phone's operating system to pie. Be happy with Oreo as it is more efficient.2. Lots of bugs with the latest pie update. Launching time increases for some apps.3. Camera performance has degraded after Android pie update. Now the pictures appear very dull and washed out. Also, the back ground blurring in portrait mode is worsened and looks very artificial, when compared to the previous Oreo.Otherwise Honor 8x is a good phone as long as you are happy with Android Oreo.I STRONGLY RECOMMEND ALL CUSTOMERS NOT TO UPDATE YOUR PHONE'S OS TO ANDROID PIE IF YOU ARE BUYING IT.Even as I was typing this review, battery percentage decreased from 48% to 44% which is very very bad and disheartening.",1
2,1. The most important feature of direct video calling is not available in this honor phone.Video calling possible only through third party app. This is main and pathetic failure of this phone.2. Saturation of pictures are very high.3. Video quality & picture quality is not upto mark as compare to same range of phones.,0
3,I am using this from 6days here many cons compere with realme 2 proPros1)battery2)proceccer3)build quality remaining specifications are better in realme 2proCons1)camara  ;Average  performance2)display ;poor display3)gaming experience ;not handling smooth4)sound quality is very poor  I think realme 2pro is better than honor8x,1
3,Very poor sound quality,0
3,Camera is poor.. But look is awesome..,0
3,>Mobile looks good.>Finger print scan is working superbly.>Face scan is also awesome.>Camera Quality superb front and back.>App response is quik compare to other Mobiles.---->Sound quality is worst you cant even listen that sound when it is high.>Mobile will come with so many apps which is not required.>Graphics is not supporting properly.I took this mobile very first day but got disappointed,1
3,Good,0
3,"Superb phone, but there is no earphone in the box",0
1,Don't buy this phone ..Not worth ..Camera quality is not good ..Not returning even within 2 days ..Amazon is not good 4 this product ..Don't buy from Amazon...Thanks,0
1,Just 20 days back I bought this Honor 8X through Amazon only. Now sudden on 13 Feb my phone got bent due to any manufacturing defect now honor team is not even giving me warranty against that. Please don't buy such a bakwas mobile phone. Better to stay with Samsung & Nokia instead of some chinese phone.,1
2,"Display is awesome but Trustly Go with Snapdragon Processor because lots of hanging issues r there also user interface is not good, Mi UI is lots of better than Honor UI also for music lover don't buy this phone, Also face unlock is very very bad so awarall product is not good I m giving 4/10 Marks",1
1,Pic quality so poor...,0
1,Received Defect Product. Camera not even gets open. Now requested for replacement,0
3,Battery is draining is very fast and camera quality very poor,0
1,Very nice Phon touch screen is very nice and soft,0
1,"Loss of money, bad backup of battery",0
1,Sound output is very bad and it's hanging much,0
3,Performance is okBut sound quality is not satisfyingCamara is satisfying,0
3,Picture quality is too low when comparing to samsung mobiles of same prize!!!,1
3,OS is not user friendly...Could be better..and still my review is Samsung OS and android one is best..can not beat,1
1,"Sound is awful, a waste of money",0
3,Picture quality is not good,0
1,User interface is worst,0
3,Camera is not good,0
3,Worth to buying,0
3,Good phone,0
3,Good,0
3,After using for around a week. My ratings are as follows:Camera 2/5Design  5/5Display 5/5Battery 5/5Sound Quality 5/5Performance 4/5Overall 3 star.I think Honor 8x has the worst camera in this segment. Don't know why everyone aregiving 5 star. See the noise in the attached picture.,0
1,WIFI not working,0
1,Wrost product,0
2,"Charger is not good, withing 6 month my charge got damaged I tryed to replace but its showing invalid.",0
1,Microphone quality is very poor even after replacement. Please don't buy.,0
1,Very low quality because my headphone jack stopped working in just 4 month and when I went to the care they just saying we have to check the phone it's not in the warranty and it cause of u !Is this the answer!!How headphone jack can b damage by me!!! When it's automatically stopped working!!!! Soooooooo baddddd service disappointed very much I'm tired of going to the care again and again with my problem at last I had to write here wat I was going through 😭,0
3,Worst processer heating and hanging issue is high,0
1,pur qwality,0
1,Nothing is running pathetic product,0
1,Good,0
1,Bekaar phone,0
2,Battery back up camera fingure so super,0
3,Not bad,0
2,There is some problem in sound of phone calls. Receiving eco sound while making calls.,0
1,Very bad,0
3,Need some improvement,0
3,Okay Cell Phone,0
3,Battery life very less,0
1,Not working properly,0
2,Video quality and the processor is very slow,0
3,Dont buy,0
1,"Worst quality phone, phone display stopped working on a month. Worst ever camera phone compared to redmi. It's like 2mp camera...they say 1 year warranty, but it's a gimmick. Honor service center pour drop of water during service and say it is out of warranty...",1
3,👍,0
1,The display and screen quality are very poor.Screen completely broken in a single day.,0
3,"Writing this review after 4 months of usage.Average kind of mobile. Nothing impressive.Camera is average.Battery is average.Battery is average.Don't fool by looks,it is your money so invest with intellect mindset",0
1,"totally susceptible to water damage and bad customer service for repair bought it 5 months back , due to water phone got dead. When I want to Huawei service centre the refused to repair it. When I insisted, the price told by customer service centre is exceeding original cost. A good phone is useless if there is no service and repair is available. 20000 rupees got wasted. Now all my data along with internal store is lost.I had high hopes but all shattered. Sad affair.",0
2,Not as expected,0
1,"Display breaked easily , no protection provided worst mobile.",0
3,Battery backup is not good.,0
3,Lags,0
1,Bad one,0
3,Very poor camera,0
2,Bad very bad performance,0
2,Camera quality are too poor,0
3,Ok,0
1,I never see this type of worst product. Hanging start on 3 rd day,0
3,Good,0
3,Phone is too bulky . Screen is not responding properly,0
3,Size could be redused,0
3,Thike hai,0
2,Bettery not good,0
1,"Call drop, call hang, missbehaving all function. So many issues after pie update",0
3,Not good,0
1,Camera worst...... Plz don't buy this product.... Especially camera lovers. I am using sice 2 months,0
1,Don't waste your money on this phone.. Worst phone from honor.. Processor is very slow from the first day.. it hangs daily after one month use... Only just the big screen and average+ camera otherwise nothing else..now the choice is yours,0
2,Software has late back approach,0
1,hanging problem this phone,0
1,No update,0
3,Not much satisfied,0
3,Good,0
3,Nice battery,0
3,Phone theek hi. Battery swelling aagayi. Aur back cover bhi nikal gaya. Oct 2018 may purchase Kiya Tha. Service centre yaha nahi hi. Kya battery warranty milage kya,0
2,Pubg is lagging a bit,0
1,The phone is switched off automatically & lot of issues,0
3,Nice and good,0
1,Mobile camera woust,0
1,Camera quality is 0,0
3,BUY HONOR PLAY INSTEADCan't record 4kDoesn't have usb-cVery fast face and fingerprint unlockBright display,0
1,Very bad,0
2,Not a bad product but only one problem in this phone it is running function has to hang phone and functions get to stop..,0
2,Not good,0
2,The phone getting display damged without any physical damge and battery also giving trouble it shows 100 percent suddenly it will fall to 19 percent camera is worst in this segment,0
3,OK not my expectation because battery only half xay,0
3,Charger is fastley hot,0
3,Battery fast discharge,0
3,Good,0
2,I brought it before 10 days now the speaker is not working properly. Sorry I didn't expect this from a reputed company...,0
2,Low quality glassGlass broken after one motnt usage..,0
